Time,Country_Name,Per_capita_GDP_rate,Per_capita_GDP,Gross_domestic_productA_at_market_prices,Population_growth_rate,Male_population,Female_population,Literacy_rate_male,Literacy_rate_female,Government_education_expenditure_as_a_percentage_of_GDP,Government_expenditure_on_secondary_and_higher_vocational_education_as_a_percentage_of_GDP,Total_population,Higher_education_enrollment,Higher_education_enrollment_rate,Educational_Fund ,Enrollment_Rate,Primary_school_to_university_total_enrollment_rate,Gross_enrolment_ratio
2005,Argentina,Low,8522.52,3.34E+11,0.0107,0.4892,0.5108,0,0,0.0386,0,39145488,2082577,0.0532,Meddle,High,2.45143799,1.07035176
2006,Argentina,Low,9112.11,3.60E+11,0.0105,0.4892,0.5108,0,0,0.0413,0,39558890,2202032,0.0557,Meddle,High,2.55057872,1.08542714
2009,Argentina,Low,9428.5,3.85E+11,0.0103,0.4891,0.5109,0,0,0.0553,0,40799407,2387049,0.0585,High,High,2.85738697,1.10050251
2005,Brazil,Low,9495.1,1.77E+12,0.0117,0.4934,0.5066,0,0,0.0448,0,186917361,4572297,0.0245,Meddle,High,2.85741832,1.11557789
2006,Brazil,Low,9761.88,1.85E+12,0.0111,0.4932,0.5068,0.8896,0.904,0.0487,0,189012412,0,0,High,Low,2.24584091,1.13065327
2007,Argentina,Low,9830.68,3.93E+11,0.0103,0.4891,0.5109,0,0,0.0446,0,39970224,2208291,0.0552,Meddle,High,2.74992711,1.14572864
2008,Argentina,Meddle,10125.13,4.09E+11,0.0103,0.4891,0.5109,0,0,0.0484,0,40382389,2287874,0.0567,High,High,3.02688432,1.16080402
2007,Brazil,Meddle,10245.23,1.96E+12,0.0106,0.4931,0.5069,0.8944,0.9104,0.0497,0,191026637,5272877,0.0276,High,High,2.36679918,1.1758794
2010,Argentina,Meddle,10276.26,4.24E+11,0.0104,0.4891,0.5109,0,0,0.0502,0,41223889,2520985,0.0612,High,High,3.05874532,1.19095477
2014,Argentina,Meddle,10323.21,4.44E+11,0.0103,0.4893,0.5107,0,0,0.0536,0,42981515,2869450,0.0668,High,High,2.52207594,1.20603015
2005,Lithuania,Meddle,10537.91,35012502276,-0.0163,0.4646,0.5354,0,0,0.0487,0,3322528,195405,0.0588,High,High,3.10547167,1.22110553
2009,Brazil,Meddle,10540.11,2.05E+12,0.0099,0.4927,0.5073,0.902,0.9155,0.0546,0,194895996,6115138,0.0314,High,High,3.02068125,1.2361809
2012,Argentina,Meddle,10557.89,4.44E+11,0.0105,0.4892,0.5108,0,0,0.0535,0,42096739,2726557,0.0648,High,High,2.93544289,1.25125628
2008,Brazil,Meddle,10658.23,2.06E+12,0.0102,0.4929,0.5071,0.8965,0.9123,0.0527,0,192979029,5958135,0.0309,High,High,2.43757208,1.26633166
2013,Argentina,Meddle,10699.2,4.55E+11,0.0105,0.4892,0.5108,0,0,0.0544,0,42539925,2768211,0.0651,High,High,2.43354912,1.28140704
2011,Argentina,Meddle,10780.02,4.49E+11,0.0104,0.4891,0.5109,0,0,0.0529,0,41656879,2660514,0.0639,High,High,3.37715452,1.29648241
2010,Brazil,Meddle,11224.15,2.21E+12,0.0097,0.4925,0.5075,0.8993,0.9147,0.0565,0,196796269,6552707,0.0333,High,Low,3.09650559,1.31155779
2005,Chile,Meddle,11249.87,1.82E+11,0.0108,0.4947,0.5053,0,0,0.0326,0,16147064,663694,0.0411,Meddle,High,2.55198968,1.32663317
2006,Lithuania,Meddle,11500.53,37605683774,-0.016,0.4637,0.5363,0,0,0.0482,0,3269909,198868,0.0608,High,High,2.88577822,1.34170854
2009,Lithuania,Meddle,11546.82,36521628848,-0.0111,0.4609,0.5391,0,0,0.0558,0,3162916,210744,0.0666,High,High,2.74129767,1.35678392
2011,Brazil,Meddle,11559.21,2.30E+12,0.0096,0.4924,0.5076,0.9136,0.9296,0.0574,0,198686688,6929324,0.0349,High,High,3.17470576,1.3718593
2012,Brazil,Meddle,11671.18,2.34E+12,0.0094,0.4922,0.5078,0.9116,0.929,0.0586,0,200560983,7241405,0.0361,High,High,3.47968102,1.38693467
2006,Chile,Meddle,11833.95,1.93E+11,0.0106,0.4947,0.5053,0,0,0.0302,0,16319792,661142,0.0405,Meddle,High,3.06700276,1.40201005
2014,Brazil,Meddle,11866.39,2.42E+12,0.0089,0.4919,0.5081,0.9174,0.9362,0.0595,0,204213133,8072146,0.0395,High,High,3.18785806,1.41708543
2013,Brazil,Meddle,11912.15,2.41E+12,0.0092,0.4921,0.5079,0.9157,0.9324,0.0584,0,202408632,7541112,0.0373,High,High,2.88256308,1.4321608
2010,Lithuania,Meddle,11984.87,37120517694,-0.021,0.4603,0.5397,0,0,0.053,0,3097282,201373,0.065,High,High,3.71822221,1.44723618
2009,Chile,Meddle,12268.44,2.06E+11,0.01,0.4949,0.5051,0.9899,0.9892,0.0423,0,16829442,876243,0.0521,Meddle,High,2.93114678,1.46231156
2007,Chile,Meddle,12285.05,2.03E+11,0.0105,0.4948,0.5052,0,0,0.0321,0,16491687,753398,0.0457,Meddle,High,3.34078584,1.47738693
2008,Chile,Meddle,12588.69,2.10E+11,0.0103,0.4948,0.5052,0.9886,0.9908,0.0379,0,16661942,804981,0.0483,Meddle,High,3.51342606,1.49246231
2010,Chile,Meddle,12860.18,2.19E+11,0.0097,0.4949,0.5051,0,0,0.0416,0,16993354,987643,0.0581,Meddle,High,3.07380672,1.50753769
2007,Lithuania,Meddle,12928.26,41775008782,-0.0119,0.4627,0.5373,0,0,0.0459,0,3231294,199855,0.0618,High,High,3.0198585,1.52261307
2011,Lithuania,Meddle,13000.19,39366069029,-0.0226,0.46,0.54,0.9977,0.9984,0.0512,0,3028115,187117,0.0618,High,High,3.0162892,1.53768844
2008,Lithuania,Meddle,13405.19,42872888581,-0.0103,0.4617,0.5383,0,0,0.0483,0,3198231,204767,0.064,High,High,3.59472068,1.55276382
2011,Chile,Meddle,13518.77,2.32E+11,0.0094,0.495,0.505,0.9737,0.9751,0.0405,0,17153357,1061527,0.0619,Meddle,High,3.591367,1.5678392
2012,Lithuania,Meddle,13681,40875719146,-0.0134,0.46,0.54,0,0,0.0477,0.0041,2987773,175066,0.0586,High,High,3.25990309,1.58291457
2012,Chile,Meddle,14109.14,2.44E+11,0.0091,0.495,0.505,0,0,0,0.0049,17309746,1118773,0.0646,Low,High,3.29953031,1.59798995
2013,Lithuania,Meddle,14304.8,42309159363,-0.0101,0.4601,0.5399,0,0,0.0461,0.0046,2957689,159695,0.054,High,High,3.13698946,1.61306533
2013,Chile,Meddle,14551.04,2.54E+11,0.0088,0.4951,0.5049,0.9693,0.9722,0.0453,0.0031,17462982,1174011,0.0672,High,High,4.09283186,1.6281407
2014,Chile,Meddle,14701.95,2.59E+11,0.0086,0.4952,0.5048,0,0,0.0472,0.0031,17613798,1205182,0.0684,High,High,3.29097262,1.64321608
2014,Lithuania,Meddle,14932.6,43787871322,-0.0086,0.4603,0.5397,0,0,0.0449,0.0041,2932367,148389,0.0506,Meddle,High,3.46888681,1.65829146
2005,Israel,Meddle,27570.95,1.91E+11,0.0176,0.4933,0.5067,0,0,0.0576,0,6930100,310937,0.0449,High,High,3.43876176,1.67336683
2006,Israel,Meddle,28499.33,2.01E+11,0.0177,0.4934,0.5066,0,0,0.0576,0,7053700,310014,0.044,High,High,3.77865888,1.68844221
2013,Spain,Meddle,29008.02,1.35E+12,-0.0033,0.4922,0.5078,0.9921,0.9904,0.0433,0,46620045,1969413,0.0422,Meddle,High,3.9102306,1.70351759
2012,Spain,Meddle,29414.86,1.38E+12,0.0006,0.4931,0.5069,0.9909,0.9892,0.0443,0.003,46773055,1965829,0.042,Meddle,High,4.08145729,1.71859296
2014,Spain,Meddle,29496.38,1.37E+12,-0.003,0.4913,0.5087,0.992,0.9905,0.0428,0,46480882,1982162,0.0426,Meddle,High,3.96530608,1.73366834
2007,Israel,Meddle,29614.08,2.13E+11,0.0178,0.4935,0.5065,0,0,0.0551,0,7180100,327108,0.0456,High,High,3.56184957,1.74874372
2009,Israel,Meddle,29658.52,2.22E+11,0.0239,0.4937,0.5063,0,0,0.055,0,7485600,342707,0.0458,High,High,4.24704025,1.7638191
2008,Israel,Meddle,29962.01,2.19E+11,0.0178,0.4936,0.5064,0,0,0.0554,0,7308800,325246,0.0445,High,High,4.29058275,1.77889447
2011,Spain,High,30321.7,1.42E+12,0.0036,0.4939,0.5061,0.9909,0.9879,0.0487,0,46742697,1950482,0.0417,High,High,4.06044724,1.79396985
2010,Israel,High,30642.94,2.34E+11,0.0183,0.494,0.506,0,0,0.0554,0,7623600,360378,0.0473,High,Low,3.95048265,1.80904523
