Time,Country_Name,Per_capita_GDP_rate,Per_capita_GDP,Gross_domestic_productA_at_market_prices,Population_growth_rate,Male_population,Female_population,Literacy_rate_male,Literacy_rate_female,Government_education_expenditure_as_a_percentage_of_GDP,Government_expenditure_on_secondary_and_higher_vocational_education_as_a_percentage_of_GDP,Total_population,Higher_education_enrollment,Higher_education_enrollment_rate,Educational_Fund ,Enrollment_Rate,Primary_school_to_university_total_enrollment_rate,Gross_enrolment_ratio
2012,Japan,High,45276.83,5.78E+12,-0.0016,0.4889,0.5111,0,0,0.0369,0,127629000,3884638,0.0304,Meddle,High,4.92392031,2.30653266
2007,Japan,High,45687.35,5.85E+12,0.0011,0.4897,0.5103,0,0,0.0333,0,128001000,4032625,0.0315,Meddle,High,5.41590003,2.32160804
2006,Austria,High,45934.54,3.80E+11,0.0049,0.4863,0.5137,0,0,0.0523,0,8268641,253139,0.0306,High,High,4.98515005,2.33668342
2009,Austria,High,46082.05,3.84E+11,0.0026,0.487,0.513,0,0,0.0573,0,8343323,308150,0.0369,High,High,4.76411457,2.35175879
2013,Japan,High,46249.26,5.89E+12,-0.0014,0.4888,0.5112,0,0,0.0367,0,127445000,3862749,0.0303,Meddle,High,5.23294215,2.36683417
2014,Japan,High,46466.12,5.91E+12,-0.0013,0.4887,0.5113,0,0,0.0359,0,127276000,3862460,0.0303,Meddle,High,5.53587367,2.38190955
2009,Canada,High,46543.79,1.57E+12,0.0114,0.4961,0.5039,0,0,0.0485,0,33628571,0,0,High,High,4.72189886,2.39698492
2010,Singapore,High,46569.68,2.36E+11,0.0177,0.4934,0.5066,0.986,0.9752,0.0311,0,5076732,213446,0.042,Meddle,Low,4.91840095,2.4120603
2010,Austria,High,46858.04,3.92E+11,0.0024,0.4874,0.5126,0,0,0.057,0,8363404,385499,0.0461,High,High,5.5617205,2.42713568
2005,Canada,High,47181.56,1.52E+12,0.0099,0.4957,0.5043,0,0,0.0478,0,32312000,0,0,High,Low,5.68902498,2.44221106
2007,Austria,High,47444.02,3.94E+11,0.0032,0.4865,0.5135,0,0,0.0515,0,8295487,260975,0.0315,High,High,5.36322866,2.45728643
2010,Canada,High,47447.48,1.61E+12,0.0111,0.4961,0.5039,0,0,0.0537,0,34005274,0,0,High,Low,5.26891101,2.47236181
2009,United States,High,47575.61,1.46E+13,0.0088,0.4938,0.5062,0,0,0,0,306771529,19102814,0.0623,Low,High,5.49580143,2.48743719
2014,Austria,High,47886.56,4.09E+11,0.0073,0.4891,0.5109,0,0,0.0545,0.0069,8541575,421225,0.0493,High,High,5.70099458,2.50251256
2013,Austria,High,47928.76,4.06E+11,0.0058,0.4887,0.5113,0,0,0.0555,0.0073,8479375,418228,0.0493,High,High,5.37399873,2.51758794
